Id,User,Text
31,stonewh14962440,RT @skaigr: Κλινικές δοκιμές του εμβολίου σε εφήβους ξεκίνησε η Moderna  #Υγεία #Εμβόλιο #moderna #έφηβοι https://t.co/0TUIEfi7Qy
32,eboxgr,"RT @idioinos: ""Τα μέτρα του lockdown δείχνουν ότι δεν δουλεύουν και η κυβέρνηση δεν έχει σχέδιο έκτακτης ανάγκης""... είπε ο μικρός Νάσος με…"
33,stylian0s,"RT @idioinos: ""Τα μέτρα του lockdown δείχνουν ότι δεν δουλεύουν και η κυβέρνηση δεν έχει σχέδιο έκτακτης ανάγκης""... είπε ο μικρός Νάσος με…"
34,RedRose27317211,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
35,Simon_Chatz,"Και γιατί το έκαναν αυτό; Γιατί δεν είναι πραγματικά τόσο καλοί επιστήμονες. Γιατί είναι ψωνισμένοι νάρκισσοι, εγωι… https://t.co/tiSvWARKRA"
36,Simon_Chatz,"Καθε εταιρία προσπαθούσε να κάνει τη μεγάλη ανακάλυψη, για να ικανοποιήσει το ΨΩΝΙΟ της, να πάρει το βραβείο επιστή… https://t.co/Xt739COBeg"
37,Simon_Chatz,"Συνολικά, δεδομένου ότι δεκάδες από τιε μεγαλύτερες φαρμακευτικές στον κόσμο με τους καλύτερους επιστήμονες δούλευα… https://t.co/StM6vxpTYW"
38,newsbeast,"Ένταση στη Βουλή μεταξύ Βελόπουλου και Βούτση για το #εμβολιο του κορονοϊού: Οι ψεκασμένοι και οι μπολιασμένοι
https://t.co/gIn0B0g1nR"
39,FreeopinionNews,"Αναμενόμενες οι ανεπιθύμητες παρενέργειες του εμβολίου Pfizer https://t.co/9CjxX8AKue via @FreeopinionNews 

#Εμβολιο #κορονοϊος #κρουσματα"
40,Simon_Chatz,"Οι υπερ-εμβολιαστές, παγκοσμιοποιητές, και άλλοι φαντασμένοι που πλάθετε σενάρια ΣΥΝΕΡΓΑΣΙΑΣ, δεν καταλάβατε ότι οι… https://t.co/OwPsowJhzt"
41,skaigr,Κλινικές δοκιμές του εμβολίου σε εφήβους ξεκίνησε η Moderna  #Υγεία #Εμβόλιο #moderna #έφηβοι https://t.co/0TUIEfi7Qy
42,wpmgrBj1kttq7Lo,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
43,Simon_Chatz,"Να το θέσω αλλιώς: Γιατί αυτές οι 40+ φαρμακευτικές, αντί για να εφεύρουν 321 υποψήφια εμβόλια με 9 πλατφόρμες, δεν… https://t.co/LGhKMLAy7T"
44,bIHq6MLUPnIBLYU,"RT @dpatsis: -Το εμβόλιο είναι υποχρεωτικό ...
=Δεν μπορώ να το κάνω έχω αλλεργία.
-Τι αλλεργία?
=Μόλις βλέπω τον Κουλη μου 'ρχεται  να ξερ…"
45,Simon_Chatz,Η καινοτομία στην ανάπτυξη φαρμάκου ΔΕΝ ειδε υψηλή προτεραιότητα ως προς την επίλυση της πανδημίας. Υψηλή προτεραιό… https://t.co/JeMBI4aF8b
46,Simon_Chatz,Οι ιατρικοί επιστήμονες είπαν ότι το να αναπτύξουν εμβόλιο ενάντια στον ιό SARS-COV-2 δεν τους ηταν δύσκολο. Είχαν… https://t.co/hkKCzwSaGO
47,bIHq6MLUPnIBLYU,"RT @Zeljko952: Μέχρι το 2019 κάθε άνθρωπος θα ήταν καχύποπτος στην ιδέα υποχρεωτικού εμβολιασμού με ένα εμβόλιο λίγων βδομάδων.
Στο 2020 με…"
48,Simon_Chatz,"Οι ιατρικοί επιστήμονες που κάνουν δηλώσεις για την επιστήμη τους λένε ότι είναι ""Μια νέα εποχή για την ιστορία των… https://t.co/HCn3iMGUe3"
49,AristotelisBel1,RT @nbozionelosgr: Εμφάνιση Μητσοτάκη μετά το #Εμβολιο https://t.co/AiaQnJmy5R
50,Simon_Chatz,Ξεκίνησε η παγκόσμια πανδημία COVID-19. 40+ φαρμακευτικές ανέπτυξαν 321 υποψήφια εμβόλια καθένα χρησιμοποιώντας μια… https://t.co/ejbdktevyy
51,NEKorinthias,"RT @kinimallagis: ❗Χρειαζόμαστε έναν ενδιάμεσο οδικό χάρτη δράσεων, που μαζί με το εμβόλιο στο τελικό στάδιο, θα μας βγάλουν με ασφάλεια απ…"
52,Simon_Chatz,"Θα καταλάβετε το λάθος που έκαναν οι φαρμακευτικές που αναπτύσσουν εμβόλια COVID-19, και γιατί είναι απατεώνες, μολ… https://t.co/FsIqmTZpy8"
53,bIHq6MLUPnIBLYU,RT @EOM_memes: #Πανδημια #Εμβολιο #COVID19gr https://t.co/awivD5rrSk
54,gouonampits,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
55,bankingnewsgr,"#Μόσιαλος κατά αντιεμβολιαστών: Μήπως τελικά τους έχει βάλει τσιπάκια ο Bill Gates; 

#BillGates #κορωνοιος… https://t.co/8bOuCtGUcG"
56,Taxideutis,Το θέλω κι εγώ! #Εμβολιο https://t.co/PPcRDTnxJx
57,thodorispyrgos,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
58,mina4852,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
59,Axl_W_Rose,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
60,political_bank,"Ο Πρωθυπουργός πρέπει να ορίσει ΈΝΑΝ επικεφαλής, που θα επιφορτιστεί όλες τις απαιτούμενες ενέργειες για τους εμβολ… https://t.co/7DlsePHNpq"
61,1VanessaRoxx,"RT @Harhalas: Και το viagra έχει παρενέργειες αλλά αυτό το παίρνετε ε?

#πανδημια #Εμβολιο #Pfizer #Pfizervaccine"
62,NIptamenos,#εμβολιο #Εμβολιο https://t.co/oDmbAGa775
63,kinimallagis,"❗Χρειαζόμαστε έναν ενδιάμεσο οδικό χάρτη δράσεων, που μαζί με το εμβόλιο στο τελικό στάδιο, θα μας βγάλουν με ασφάλ… https://t.co/5orwLv0Zb0"
64,dinos123ab,"Εγραφα πριν 1,5 μηνα οτι συνειδητα στελνει η ΝΔ κοσμο στον ταφο και καποιοι μου την επεφταν...τωρα ομολογησαν γιατι… https://t.co/4bAQHKpyN4"
65,Stefanos73NY,"RT @ABoskos: Το εμβόλιο στην Ελλάδα, θα πρέπει να γίνει όπως με τον Καποδίστρια κ τις πατάτες. Τότε να δεις πόσο επιτακτικά θα ζητούν να εμ…"
66,bankingnewsgr,"Τσακρής (ΕΚΠΑ) - Κορωνοϊός: Eισήγηση των λοιμωξιολόγων για προσεκτικό άνοιγμα

#κορωνοιος #Εμβολιο #COVID19… https://t.co/I92VbhHJDE"
67,peristeraRa,"RT @idioinos: Ακολουθεί κοινωνικό μήνυμα... 
#COVID19greece #Πανδημια #Εμβολιο https://t.co/vEBYLEOCs2"
68,bankingnewsgr,"#Κορωνοϊός: Τα άτομα που θα εμβολιαστούν θα πρέπει να συνεχίζουν να φορούν #μάσκα 

 #Εμβολιο #COVID19… https://t.co/SmaePju21g"
69,Simon_Chatz,"Μια πλήρη απάντηση στο ερώτημα, με επίσημες οδηγίες από Pfizer και δημοσιευμένες στη σελίδα της Αγγλικής κυβέρνησης… https://t.co/OdP5a3U6WC"
70,peristeraRa,"RT @Harhalas: Και το viagra έχει παρενέργειες αλλά αυτό το παίρνετε ε?

#πανδημια #Εμβολιο #Pfizer #Pfizervaccine"
71,PermaWarGR,RT @EOM_memes: #Πανδημια #Εμβολιο #COVID19gr https://t.co/awivD5rrSk
72,DailyPostgr,H ταυτότητα των απροθύμων να εμβολιαστούν #Pulse #εμβόλιο  https://t.co/jmlqRza6BR
73,GiozKaragioz,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
74,ChristinaDim31,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
75,thepoodwinnie,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
76,ambelogarden,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
77,EOM_memes,#Πανδημια #Εμβολιο #COVID19gr https://t.co/awivD5rrSk
78,theia_esperanza,"RT @montgmoerybasic: Παιδια, οσο εσεις μαλωνετε για το ενοικιο του #Τσιπρας στο Σουνιο και για την μερα που θα ανοιξετε τις εκκλησίες (αν ε…"
79,Havocus,British Medical Journal Editor Calls Into Question Pfizer &amp; Moderna’s “95% Effective” COVID Vaccines –… https://t.co/1MYt1KRG3j
80,Simon_Chatz,Δεν είπε μόνο αυτό. Είπε και ότι κάθε οργανισμός που κάνει εμβολιασμούς πρέπει να έχει και εξοπλισμό ανάνηψης από α… https://t.co/9H4SU1uGwG
81,bankingnewsgr,Νέες θεωρίες συνωμοσίας: Νεκρή από... το 2008 η 1η γυναίκα που έκανε το εμβόλιο για τον κορωνοϊό στην Βρετανία… https://t.co/gG5gaR7MbF
82,Simon_Chatz,"Ποιός θα μετρήσει την αποτελεσματικότητα των εμβολίων Pfizer mRNA, και πώς θα το κάνει αυτό;

#Εμβολιο #κορονοϊος #Κικιλια_παραιτησου"
83,idioinos,"""Τα μέτρα του lockdown δείχνουν ότι δεν δουλεύουν και η κυβέρνηση δεν έχει σχέδιο έκτακτης ανάγκης""... είπε ο μικρό… https://t.co/ZEssGzYBNh"
84,viralvideovlogs,"RT @bankingnewsgr: Κορωνοϊός: Αυτές είναι οι 7 συχνότερες παρενέργειες από το εμβόλιο της #Pfizer 

#κορωνοιος #Εμβολιο #COVID19 #COVIDSeco…"
85,bankingnewsgr,"Κορωνοϊός: Αυτές είναι οι 7 συχνότερες παρενέργειες από το εμβόλιο της #Pfizer 

#κορωνοιος #Εμβολιο #COVID19… https://t.co/d0B7lu81m0"
86,ABoskos,"Το εμβόλιο στην Ελλάδα, θα πρέπει να γίνει όπως με τον Καποδίστρια κ τις πατάτες. Τότε να δεις πόσο επιτακτικά θα ζ… https://t.co/woSDQXDPt0"
87,REDMARIA7,"RT @PoytinaIrina: Άρχισε το φακέλωμα...ζητούν ενυπόγραφες δηλώσεις...στον ""προαιρετικό"" εμβολιασμό.
#Εμβολιο #Μητσοτακη_καθαρμα https://t.c…"
