Id,User,Text
32,mpempinios17,"RT @Mamoulakis: Σε αυτό το τσουνάμι των αρνητικών εξελίξεων, ο #ΣΥΡΙΖΑ-ΠΣ  βρίσκεται στο πλευρό των πολιτών. Διεκδικούμε τα αυτονόητα, αυτά…"
33,VasilisS14,"RT @Mamoulakis: Σε αυτό το τσουνάμι των αρνητικών εξελίξεων, ο #ΣΥΡΙΖΑ-ΠΣ  βρίσκεται στο πλευρό των πολιτών. Διεκδικούμε τα αυτονόητα, αυτά…"
34,ispring50,"RT @Mamoulakis: Σε αυτό το τσουνάμι των αρνητικών εξελίξεων, ο #ΣΥΡΙΖΑ-ΠΣ  βρίσκεται στο πλευρό των πολιτών. Διεκδικούμε τα αυτονόητα, αυτά…"
35,Mamoulakis,"Σε αυτό το τσουνάμι των αρνητικών εξελίξεων, ο #ΣΥΡΙΖΑ-ΠΣ  βρίσκεται στο πλευρό των πολιτών. Διεκδικούμε τα αυτονόη… https://t.co/Q3OIifNp7I"
36,trooperas,"Ας διαβάσουμε και κάτι διαφορετιό:
Χριστούγεννα: Κάλαντα από κάθε γωνιά της Ελλάδας  | https://t.co/nwbXw1tEYG |… https://t.co/2B9HffZ7ss"
37,GiannesT1,"#Λοκνταουν
#Πανδημια
#Κορωναιος
#Καραντινα
#Πολιτικη
#ΝΔξεφτιλες
#ΝΔ_Χουντα
#ΝΔ_ΑΠΑΤΕΩΝΕΣ
#ΝΔ_αλητες
https://t.co/vXjS3UPP1J"
38,GiannesT1,"#Καραντινα
Κύμα οργής στην Αλβανία μετά τη δολοφονία 25χρονου από αστυνομικό https://t.co/9ytdT2rgcr"
39,GiannesT1,"#Λοκνταουν
#Πολιτικη
#Καραντινα
#ΝΔ_αλητες
Κύμα οργής στην Αλβανία μετά τη δολοφονία 25χρονου από αστυνομικό https://t.co/9ytdT2rgcr"
40,GiannesT1,"#Κορωνοιος
#Καραντινα
#Πολιτικη
#ΝΔ_αλητες
#COVID19
Παράσταση διαμαρτυρίας με αίτημα το άνοιγμα των βιβλιοπωλείων https://t.co/YG6E8xwKn0"
41,GiannesT1,"#καραντινα
Παράσταση διαμαρτυρίας με αίτημα το άνοιγμα των βιβλιοπωλείων https://t.co/YG6E8xf9vs"
