Id,User,Text
28,Aigaioglaros22,@migrationgovgr @nmitarakis @YlvaJohansson Στα νησιά φωνάζουμε στους αριστερούς καραγκιόζηδες της @neademokratia να… https://t.co/8mlFIVrdkl
29,HGeorgil,"RT @HGeorgil: 1/3
Να το πούμε λαϊκά, ο #Covid απλά «υπέκλεψε πελατεία» από όλες τις άλλες αιτίες θανάτων, που τώρα εκείνες εμφάνισαν αντίστ…"
30,Eleftheristis1,"RT @HGeorgil: 1/3
Να το πούμε λαϊκά, ο #Covid απλά «υπέκλεψε πελατεία» από όλες τις άλλες αιτίες θανάτων, που τώρα εκείνες εμφάνισαν αντίστ…"
31,Koyrkoybinis,"RT @dinos123ab: 11,7% υφεση...100 νεκροι καθε μερα... δηλαδη ποσο πιο ικανους θελατε να σας κυβερνανε ? τι ψηφισατε ρε μαλακες ? #κρουσματα…"
32,doureiosrypos,"Ψηφιζουμε, ψηφο δεν χαριζουμε
#Harrods #κρουσματα #Γρηγοροπουλου #κυβερνηση_συμμορια #Bbxeftiles #BigBrotherGR… https://t.co/s0BbEXITOZ"
33,OTypos,"RT @amna_news: .@WHO 

#COVID19 : Οι πλούσιοι δεν πρέπει να «ποδοπατήσουν» τους φτωχούς στην κούρσα για το #εμβόλιο

https://t.co/RGmo6wdzW…"
34,vassiouti,"RT @amna_news: .@WHO 

#COVID19 : Οι πλούσιοι δεν πρέπει να «ποδοπατήσουν» τους φτωχούς στην κούρσα για το #εμβόλιο

https://t.co/RGmo6wdzW…"
35,hc_yiota,RT @amna_news: 🇧🇭 Το #Μπαχρέιν ανακοίνωσε σήμερα ότι ενέκρινε για κατεπείγουσα χρήση το #εμβόλιο των εταιρειών @pfizer/@BioNTech_Group για…
36,Difernews,"RT @MaddieSevastou: Αλήθεια αγαπητοί... μαζεύονται; #Μπούρλας 
#εμβόλιο #Covid_19"
37,amna_news,🇧🇭 Το #Μπαχρέιν ανακοίνωσε σήμερα ότι ενέκρινε για κατεπείγουσα χρήση το #εμβόλιο των εταιρειών @pfizer/… https://t.co/toTBVl7sfJ
38,Simon_Chatz,Η ασφάλεια κάθε υποψήφιου εμβολίου COVID-19 θα χαρακτηριστεί πλήρως στις επερχόμενες δημοσιεύσεις των αποτελεσμάτων… https://t.co/auJdjVVdqt
39,rammelsvergite,RT @skaigr: Κορωνοϊός: Το Μπαχρέιν έγινε η 2η χώρα που εγκρίνει προς χρήση το εμβόλιο των Pfizer/BioNTech  #Υγεία #κορωνοϊός #Εμβόλιο https…
40,MaddieSevastou,"Αλήθεια αγαπητοί... μαζεύονται; #Μπούρλας 
#εμβόλιο #Covid_19 https://t.co/mACidYZAUk"
41,amna_news,".@WHO 

#COVID19 : Οι πλούσιοι δεν πρέπει να «ποδοπατήσουν» τους φτωχούς στην κούρσα για το #εμβόλιο… https://t.co/wqp7TKnjqI"
42,skaigr,Κορωνοϊός: Το Μπαχρέιν έγινε η 2η χώρα που εγκρίνει προς χρήση το εμβόλιο των Pfizer/BioNTech  #Υγεία #κορωνοϊός… https://t.co/ZW8ZQ8UWLD
43,katakaimeni,"RT @giorgos_koutras: Παρότι τα ένζυμα του ανθρώπου μπορούν μόνο να μετατρέπουν το DNA σε RNA κι όχι το αντίθετο , εάν ήμουν Μαυραγάνης  (μο…"
44,amna_news,".@MOSSIALOS : Δεν θα κάνουν ακόμη οι έγκυες το #εμβόλιο για τον κορονοϊό, επειδή δεν συμπεριλήφθηκαν στις κλινικές… https://t.co/gnhxpZ59qt"
45,evris81,Το Μπαχρέιν γίνεται δεύτερη χώρα που εγκρίνει το εμβόλιο Pfizer COVID-19 #Εμβολιο
46,IFRZIZ6YmRJVxdH,"RT @dinos123ab: 11,7% υφεση...100 νεκροι καθε μερα... δηλαδη ποσο πιο ικανους θελατε να σας κυβερνανε ? τι ψηφισατε ρε μαλακες ? #κρουσματα…"
47,dinos123ab,"11,7% υφεση...100 νεκροι καθε μερα... δηλαδη ποσο πιο ικανους θελατε να σας κυβερνανε ? τι ψηφισατε ρε μαλακες ?… https://t.co/44m7t1vMrg"
48,PenelopeD10,"#εμβολιο #κορωνοιος #COVID19greece
(Ελεύθερη Ώρα) https://t.co/bbzM4Actnu"
49,Galanolefko,"RT @YannisBiniaris: Κάνεις δεν μπορεί να σου επιβάλει τον εμβολιασμό!
https://t.co/ehX0RfrLTm

#Εμβολιο #καραντινα #κορωνοϊός #ΓαλανόλευκοΣ…"
